Title,Author,Text,Resource,Label
"Colts' Rigoberto Sanchez Says He Has Cancerous Tumor, Will Undergo Surgery",[],"Darron Cummings/Associated Press

Indianapolis Colts punter Rigoberto Sanchez announced Monday that he has a cancerous tumor.

The 26-year-old will undergo surgery Tuesday.

Sanchez has been with the Colts since signing as an undrafted free agent in 2017, appearing in 59 straight games. He played in Sunday's game against the Tennessee Titans and punted five times in the 45-26 loss.

Sanchez also usually handles kickoffs for the Colts but didn't Sunday because of what head coach Frank Reich described after the game as a ""physical issue.""

He has been one of the more reliable punters in the NFL and ranks ninth with 47.2 yards per punt this season.

The production helped Sanchez earn a four-year, $11.6 million extension in 2019.",CNN,1
"Another 709,000 Americans filed for unemployment claims last week",[],"New York (CNN Business) America's jobs recovery is slowing down. While many have been able to return to work, millions remain unemployed.

Another 709,000 Americans filed first-time claims for unemployment benefits last week on a seasonally adjusted basis, the Labor Department reported Thursday. It was a slightly smaller number of initial claims than economists had expected.

On top of that, another 298,154 workers filed for Pandemic Unemployment Assistance, a program sanctioned under the CARES Act to provide benefits to those ineligible for regular state aid, such as the self-employed.

Together, first-time claims stood at 1 million last week, not adjusted for seasonal fluctuations. That was a new low for the total number.

Still, it's been eight months since the pandemic crisis started, and the economic hardship created by mass layoffs remains for millions.

Read More",CNN,1
Survey: More than 1 in 3 small businesses won’t survive past the next three months without additional financial relief,[],"For months, Congress and the White House have conducted negotiations on another round of stimulus relief in fits and starts as they struggle to agree on the size and scope of a stimulus package. Small Business Majority’s latest survey reveals that the uncertainty of whether more help will arrive has left too many small businesses on the brink of collapse.

The survey finds that without additional funding, more than 1 in 3 (35%) small business owners will not survive past the next three months. The number is even higher for small business owners of color: an astounding 41% of Black and Latino-owned businesses won’t make it through the next few months without additional financial support. And 1 in 5 small business owners report they’ve considered filing for bankruptcy. These numbers have grown since our last survey was released on August 27, when 26% of small businesses reported they wouldn’t survive more than three months, and 16% reported they’ve considered bankruptcy.

To make matters worse, a wave of commercial evictions and foreclosures is likely on the horizon, with 8 in 10 small business owners reporting that they are struggling to make commercial rent or mortgage payments—up 18% since late August. Slightly more business owners of color (84%) report the same. Equally troubling, 64% of all small businesses and 73% of Black and Latino-owned businesses are concerned they will have to permanently lay off employees without immediate federal relief. More than 6 in 10 Black and Latino small business owners are very concerned they will have to make permanent layoffs, and 10% have already done so.

Given these numbers, it’s clear that small businesses need more assistance in order to survive the pandemic. When asked what the number one priority should be for Congress and the White House before Election Day, small businesses ranked a comprehensive stimulus package as their top concern. Fifty-five percent ranked negotiating on a comprehensive, bipartisan stimulus package that includes small business assistance and unemployment insurance as the number one priority, followed by 29% who want to see a standalone small business relief bill, 5% who want another round of stimulus checks for some Americans and 4% who want see the Supreme Court nominee confirmed.

The need for a comprehensive relief package comes at a time when small business owners are still experiencing a significant loss in consumer confidence. Forty-five percent of small business owners rank reduced consumer demand as the top concern for their business right now. One in five of all small business owners and more than 1 in 4 minority-owned businesses (27%) rank the health and safety of themselves, their employees and their customers as their top concern. Fifteen percent of Black and Latino owned businesses are still unable to reopen their businesses.

Additionally, small business owners are concerned about the future of their healthcare. In November, the U.S. Supreme Court will hear oral arguments in the case of California v. Texas, a case challenging the constitutionality of the Affordable Care Act. Seventy-four percent of all small businesses and 86% of Black and Latino-owned businesses are concerned that the Supreme Court may strike down all or part of the healthcare law, including protections for individuals with preexisting conditions.

The findings of this survey paint a dire picture of what many small business owners are facing just weeks before Election Day. With no sign of an end to the health crisis in sight, small business owners are looking to Congress and the White House to provide more comprehensive relief to sustain their businesses and set our economy on a meaningful path toward recovery.

This is the fifth in a series of COVID-19 related surveys Small Business Majority has released of its network. Over time Small Business Majority has tracked the economic conditions facing small businesses, how well federal stimulus programs have served its network, the small business owners' views of proposed stimulus provisions, and other issues of importance.

",CNN,1
"Capital of Ethiopia's Tigray region under control of Ethiopian forces, says PM after intense bombardment",[],"(CNN) Ethiopian National Defense Forces (ENDF) have taken control of Mekelle, the capital of the country's Tigray region, according to a tweet from Prime Minister Abiy Ahmed.

The city was under fierce bombardment earlier on Saturday, a humanitarian source on the ground and eyewitnesses who have fled the city told CNN.

The government's military operations have now ceased in the region, he said in a second tweet

Federal police will continue working to round up members of the Tigray People's Liberation Front (TPLF). Thousands of Northern Command officers held by the TPLF have now been released, according to Abiy.

The airport, public institutions, the regional administration office and other critical facilities are under control of the ENDF. The prime minister thanked the people of Tigray and emphasized that the next critical task is working to rebuild what has been destroyed.

Read More",CNN,1
Senegal World Cup star Papa Bouba Diop dies aged 42,[],"(CNN) Former Premier League player and Senegal World Cup star Papa Bouba Diop has died aged 42, the Senegalese Football Federation (FSF) confirmed to CNN.

Diop made 63 appearances for his country with the highlight of his international career coming at the 2002 World Cup where he scored the first goal of the tournament as Senegal stunned reigning champion France 1-0.

He went on to score two more goals in the competition as Senegal reached the quarterfinals.

""Thanks to him and his 2002 generation, the whole world discovered Senegal, land of Terranga and Football,"" FSF President Augustin Senghor said in a statement . ""Rest in peace! Forever in our hearts!""

On Sunday, football's governing body FIFA said it was ""saddened"" to hear of Diop's passing.

Read More",CNN,1
"Bitcoin hits an all-time high of just under $20,000",[],"New York (CNN Business) Bitcoin just hit another milestone in its impressive 2020 run . The cryptocurrency surged 9% to a new all-time high of about $19,860 on Monday, topping the previous peak of $19,783 from December 2017.

It's been a wild year for bitcoin , which has soared more than 175% since the end of 2019. Prices plunged below $4,000 in March as markets around the globe plummeted due to the Covid-19 economic crisis.

But bitcoin has rallied sharply in the past few months as the dollar has weakened . Crucially, the cryptocurrency has also skyrocketed into the mainstream.

Payments giantsandboth now allow their customers to buy and sell bitcoin . Money management giant Fidelity is launching a bitcoin fund for wealthy investors.itcoin futures contracts are even trading on the Chicago Mercantile Exchange.

Prominent investment managers Paul Tudor Jones, Stanley Druckenmiller and Mike Novogratz are bullish on bitcoin as well.

In other words, the days of bitcoin being considered just a fringe investment are over. The cryptocurrency has gone legit.

""This rally is driven by smart and institutional money and not built solely on retail over-speculation,"" said Guy Hirsch, managing director for the US at eToro, brokerage and trading firm, in an e-mail to CNN Business. ""So many more individuals and asset managers are now buying in.""

The amount of bitcoin currently in circulation is now worth more than $365 billion.

BlackRock BLK Bitcoin also got a recent boost after a top strategist at, the world's largest asset management firm, suggested that bitcoin could one day replace gold as a safe-haven currency of choice.

The epic rise in bitcoin has also fueled even more dramatic spikes in smaller cryptocurrencies such as ethereum, XRP, litecoin and Stellar as of late. That may continue.

""Bitcoin hitting a new all-time high...will likely spur a tidal wave of retail investment that pushes bitcoin much higher in short order,"" said Denis Vinokourov, head of research at digital assets prime broker Bequant, in an e-mail to CNN Business.

""However, it is unlikely that this inflow will be limited to bitcoin only,"" he added. ""The ease of access to other assets is much more straightforward than what it was during the last bull run.""",CNN,1
Nikola shares fall after GM scraps Badger deal and drops equity stake,[],"(CNN) General Motors is giving up its equity stake in Nikola Motors and scrapping plans to build the electric truck maker's Badger pickup as part of a new, scaled-back deal between the companies.

Nikola shares plunged more than 20% on the news.

The new deal replaces an agreement announced in September in which GM had planned to take an 11% stake in Nikola and supply the startup with equipment for its highly anticipated hydrogen fuel cell trucksGM had also previously said it would build Nikola's planned pickup, the Badger.

But shortly after that deal was announced, a short seller released a report leveling allegations of fraud and exaggeration against the company and it's then-chairman Trevor Milton. Nikola disputed the report.

In the wake of the allegations, GM reminded investors that it had not yet closed the deal with Nikola. The new arrangement, announced Monday morning, is still just a memorandum of understanding, not a final deal. Under this deal, GM will simply be a supplier to Nikola.

Nikola executives have said the Badger pickup would be built only through an arrangement with an outside company. The company has now said it will refund deposits potential customers had placed for the truck.

""Nikola is focusing on its core business of producing commercial zero-emission trucks,"" a Nikola spokeswoman said in an email.

The two companies will also discuss Nikola possibly using GM's Ultium battery system, which will used in GM's future electric vehicles.

""This went from a game changer deal for Nikola to a good supply partnership but nothing to write home about,"" analysts Daniel Ives and Strecker Backe at Wedbush Securities wrote.",CNN,1
Chipotle adds smoked brisket to its menu for a limited time,[],"New York (CNN) Chipotle is adding smoked brisket to its menu in select markets in the United States for a limited time.

The Mexican food chain says its new beef protein option, which is seasoned with a blend of spices and a Mexican pepper sauce, is already being tested at 64 restaurants in Cincinnati and Sacramento, California.

Chipotle CMG It's the latest comprehensive taste test for, which added carne asada and queso blanco to its full menu earlier this year after those items successfully completed the company's menu pilot process last year.

The length of the smoked brisket pilot will depend on how well it performs with customers, a Chipotle spokesperson said.

Other menu options Chipotle is testing include its cilantro-lime cauliflower rice, which is available in some parts of Colorado and Wisconsin. The company is also testing digital orders for quesadillas in Cleveland and Indianapolis after introducing them as a dine-in and carryout option in New York City in 2018.

Read More",CNN,1
Mortgage rates have never been this low,[],"Mortgage rates fell to another record low last week, for the 13th time this year.

The average interest rate on a 30-year fixed-rate mortgage dropped to 2.72%, according to Freddie Mac . That's the lowest level in the nearly 50 years of the mortgage giant's survey. The 15-year fixed-rate mortgage dropped to 2.28%.

""Weaker consumer spending data, which accounts for the majority of economic growth, drove mortgage rates to a new record low,"" said Sam Khater, Freddie Mac's chief economist. ""While economic growth remains unstable, strong housing demand continues to have a domino effect on many other segments of the economy.""

The continuing low interest rates have helped to fuel a boom in the US housing market. In the third quarter Americans' mortgage debt climbed to a record high of nearly $10 trillion according to the Federal Reserve Bank of New York.

Investors had to weigh the promising news of another vaccine contender against a disappointing retail report and still-rising Covid cases , which drove down the interest rate for a 30-year loan, said George Ratiu, Realtor.com senior economist.

Read More",CNN,1
Home sales are off the charts,[],"Even amid a global pandemic and high unemployment, people are still buying homes at the fastest rate in years.

Home sales rose again in October, at their highest pace in 14 years, according to the National Association of Realtors.

But a record low inventory of available homes and a greater number of luxury homes sold have pushed the median home price up to a record $313,000, almost 16% more than a year ago. Total housing inventory dropped 3% from September and is down nearly 20% from a year ago.

Homes sold at a swift pace in October, with more than 7 in 10 homes sold on the market for less than a month. At the current pace of sales, it would take just 2.5 months to clear the existing inventory — a record low.

Sales of existing homes — which include single-family homes, townhomes, condominiums and co-ops — were up 4.3% from September and 26.6% from a year ago, to a seasonally adjusted annual rate of 6.85 million in October.

Read More",CNN,1
This is why it's getting even harder to afford a home,[],"The nation's median existing single-family home price climbed to $313,500 in the third quarter, up 12% from a year ago, according to a report from the National Association of Realtors. At that price, a family would need to pay $1,059 for a monthly mortgage payment and would need to earn $50,819 a year to afford it.

Home prices grew four times as fast as median family income, which increased at a rate of 3%.

The median sale prices of existing single-family homes rose from a year ago in all 181 metro areas measured in the report, and 65% saw double-digit price gains.

Prices are rising largely due to the combination of low mortgage rates that are attracting buyers, and a limited supply of available homes to buy.

Read More",CNN,1
How a vaccine could upend real estate markets -- again,[],"In just a matter of months the coronavirus pandemic dramatically changed the landscape of the housing market, especially in big cities. But now news of a promising vaccine could turn the market on its head again.

Nationally, home prices have never been higher , driven up as surging demand due to record low mortgage rates comes up against historically low inventory of homes for sale.

But the most expensive urban areas have been experiencing the opposite problem. Cities like New York and San Francisco have seen higher vacancy rates and lower rents and sale prices as many people, untethered from office jobs, retreated to the suburbs and less densely populated areas.

But with potential vaccines on the horizon, real estate in big cities could see a turnaround.

""It's not going to be a light switch,"" said Jonathan Miller, president of Miller Samuel, a real estate appraiser and consultant in New York City. ""But the news is starting to get people to be hopeful and think about returning to the city. Because right now, without a vaccine, it is status quo.""

While widespread vaccination is still a ways off , the news alone is a good sign that real estate in cities will continue to recover as the prospect of vaccines becomes more realistic, said Richard Smith, chairman and executive director of the Foundation for the Study of Cycles, a nonprofit that studies recurring patterns in economics, social sciences and nature.

""Sometimes it is when the news gets less bad that you get your biggest gains,"" he said.

Real estate investment trusts (REITs), investments backed by real estate, that had cratered when the pandemic broke out, have already recovered some of their losses and moved higher on the vaccine news.

Here's what the vaccine could mean for renters and home buyers.

Will people return to cities?

The more a vaccine brings life closer to ""normal,"" the more city real estate markets will change, said Miller.

""Once the vaccine is out and the population begins seeing schools reliably open and the big companies bringing people back in, that's where it snowballs,"" he said. ""Then people can make plans around it.""

In Manhattan, the rental market will come back first, he said, because that activity has fallen the most and there is a lower bar to entry. But with rental inventory currently triple what it was a year ago, don't expect rents to go up soon.

The Manhattan rental market remains historically weak. Last month saw a record-high number of apartments available to rent and a record-high share of rental apartments leased with concessions like one or two months free rent, according to brokerage firm Douglas Elliman and Miller Samuel.

The vacancy rate in Manhattan is at a new all-time high of 6.14%. That's caused record price declines in rents. The median rent for a one bedroom in Manhattan in October, for example, was $3,064 a month, down 4.1% from September and down 14.8% from a year ago.

""There has been a precipitous drop in the cost of a rental and the expectation is that there is still more of that ahead, until the inventory is eaten up,"" said Miller. ""There is still a lot of runway ahead. We'll be well into 2021 and a vaccine until we get into an uptick in pricing.""

For those looking to buy, purchasing a home in New York will be more attractive when a vaccine makes all the things a city has to offer possible again, Miller said, including easy access to dining, theater, concerts and events.

""The first thing that has to happen in terms of really accelerating the re-adoption of city life in the post-pandemic world, is going to be when companies, especially the Fortune 500 companies as leaders, start to bring people back to work,"" he said.

Buyers won't leave the suburbs behind

The uncertainty of this past year has left a mark on buyers, particularly those with higher incomes who can afford a second home near the city as a refuge that requires no planes or planning, said Dottie Herman, chief executive of Douglas Elliman Real Estate.

""The virus made the home very important,"" said Herman. ""Working from home will be here to stay, in some way. It won't be only working from home, but some combination of at home and the office.""

That has created wish lists for new homes that include outdoor space and offices and it has expanded locations for buyers, lengthening the commuting tether between home and office, she said.

Strong demand in the suburbs and resort communities near cities will continue, she said. Even though many suburban areas around New York passed their pandemic peak in the summer, in many areas sales are still above levels seen a year ago.

""People have gotten used to working from home and are comfortable living farther from the city,"" she said. ""That won't change with a vaccine. Second homes will continue to be a booming market nationally.""

Will mortgage rates stay low?

Mortgage interest rates hit a 12th all-time low heading into November, and some economists say even lower rates may be ahead. Others, however, say the vaccine news could reverse the downward trend.

""While rates are always unpredictable, sustained record lows are looking less likely in light of recent events,"" said Brendan Phillips, a capital markets analyst at Better.com, an online lender. ""Rates jumped when pharmaceutical giant Pfizer announced its Covid-19 vaccine had shown 90% efficacy in trials .""

Goldman Sachs analysts pointed to the encouraging progress of vaccine research as a reason to think the economy may sustain a ""V-shaped"" recovery, bouncing back quickly to pre-pandemic levels. Other economists say that the ability of Congress to finally pass a stimulus package will also affect the speed of the country's recovery from the current recession.

""Good news for the economy, though, usually means higher rates,"" said Phillips.",CNN,1
'King of the coal' Robert Murray dies at the age of 80,[],"(CNN Business) Robert ""Bob"" Murray, known in the industry as the king of coal, died due to complications from lung disease early Sunday morning surrounded by his family in the Ohio Valley, his lawyer Michael Shaheen told CNN.

Murray was diagnosed with idiopathic pulmonary fibrosis, or coal miner pneumoconiosis, in July 2016 and had been battling the disease since, according to Shaheen and a statement by American Consolidated Natural Resources.

A fierce supporter of coal miners and the coal industry, Murray had just announced his retirement as chairman of the board of directors of American Consolidated Natural Resources Holdings last week.

Robert Murray was replaced as CEO after Murray Energy Corporation filed for bankruptcy.

""Throughout my life in and about coal mines and in our industry, I have given all that I had to our employees and their families to sustain their family livelihoods and jobs for the hardworking people in our mining communities,"" Murray said in a statement announcing his retirement.

""Fran and I have lost a dear friend. Bob and Brenda have been our friends for three decades,"" Ohio Governor Mike DeWine said in a statement on Monday. ""Bob fought through his medical challenges with the same energy, drive, guts, and faith as he approached everything in life. In any conversation we had, Bob talked about his faith in God, his love of family, and his dedication to his employees. Fran & I will deeply miss him.""

Read More",CNN,1
Samsung chairman Lee Kun-hee dies after long illness,[],"Seoul (CNN Business) Lee Kun-hee — the controversial yet legendary business titan who led Samsung's rise from a modest South Korean company to a multinational conglomerate — died Sunday at the age of 78.

Samsung SSNLF called Lee a ""true visionary who transformed Samsung into the world-leading innovator and industrial powerhouse"" in a statement confirming his death. Lee had been comatose since suffering a heart attack in 2014 but remained titular chairman of the company.

""All of us at Samsung will cherish his memory and are grateful for the journey we shared with him,"" the company said.

Lee's son, Lee Jae-yong, has been the company's de facto leader since his father's heart attack. Asked whether the vice chairman would take his father's title as chairman, Samsung declined to comment.

Lee's father, Lee Byung-chul, created Samsung in the 1930s as a small trading company and steadily expanded into retail, electronics and other fields.

Read More",CNN,1
"Robert Gore, inventor of waterproof outerwear Gore-Tex, dies at 83",[],"(CNN) Robert W. Gore, inventor of the technology that spawned the waterproof Gore-Tex fabric, died Thursday, according to the family company, W. L. Gore & Associates.

Gore, commonly known as ""Bob,"" was 83 years old, the company said.

A coat sits on display as sellers and buyers look over gear at the Gore-Tex booth during the Outdoor Retailer Summer Show at the Salt Palace in Salt Lake City, Utah, Friday August 3, 2012.

""The substance provided myriad new product applications including Gore-Tex Fabrics, the world's first waterproof breathable outerwear and a product that through the years has become synonymous with the outdoors,"" the company said in a release.

The material was used in the wire and cable industry, the company said, even landing on the moon ""as part of the historic Apollo 11 mission"" in 1969.

Read More",CNN,1
"Bill English, co-inventor of the computer mouse, dies at 91",[],"(CNN) William ""Bill"" English, the engineer who helped create the first computer mouse, died July 26 in California. He was 91.

With the mouse, English — alongside his partner, Douglas Engelbart, who died in 2013 — helped revolutionize modern computing, at a time when most computers were slow, impersonal metal behemoths.

a device that could move a cursor across a computer interface, but it was up to English to design and build what he would later dub ""the mouse"" in a According to the New York Times , the two men met in the late 1950s at the Stanford Research Institute, after English had completed a stint in the US Navy. Engelbart had conceived ofa device that could move a cursor across a computer interface, but it was up to English to design and build what he would later dub ""the mouse"" in a 1965 paper

The two men debuted an early version of the mouse — a wooden block with wheels on the bottom — at a revolutionary 1968 computer convention, later called ""the Mother of All Demos."" Also introduced at the demonstration were precursors to the hyperlink , the computer window, and the video call.

A few years later, the Times reported, English left Stanford to work at Xerox's Palo Alto Research Center, where he polished the mouse's design and paved the way for its use in personal computers from Apple and Microsoft.

Read More",CNN,1
,,,CNN,
When a specialist tells him his hearing loss will rapidly worsen, punk-metal drummer Ruben thinks his music career -- and with it his life -- is over. His bandmate and girlfriend Lou checks the recovering heroin addict into a secluded sober house for the deaf in hopes it will prevent a relapse. But after being welcomed into a community that accepts him just as he is," he has to choose between his equilibrium and the drive to reclaim the life he once knew.""",CNN,1
Jennifer Lawrence's family farm loses barn in fire,[],"(CNN) Part of Jennifer Lawrence's family farm in Kentucky, which also operates a summer camp, was destroyed by a fire over the weekend, according to a statement from the camp.

""It is with the heaviest of hearts that we confirm the news that we lost our barn last night in a horrible fire. We are deeply thankful that no people or animals were hurt, but we are still mourning the loss of years of hard work and memories that occurred in these walls,"" Camp Hi-Ho wrote in a statement posted to Facebook . ""Words cannot describe the pain we are in, but we are so incredibly grateful for the Simpsonville Fire Department and all the other fire fighters who responded to our emergency. You are true heroes.""

According to local WYKL News, 30 firefighters and six trucks were called to the scene on Friday evening.

The camp is owned and directed by Lawrence's brother, Blaine.

""We know Camp Hi-Ho is a special place to so many, and we plan to rebuild and repair so that we can move forward with a safe and joyful camp experience this summer,"" the statement concluded.",CNN,1
